0 $F,0,"00:00:00","11:49:52","00:00:00","      "
1012 $F,0,"00:00:00","11:49:53","00:00:00","      "
1998 $F,0,"00:00:00","11:49:54","00:00:00","      "
3036 $I,"11:49:55","20 Apr 18"
3037 $I,"11:49:55","20 Apr 18"
3038 $I,"11:49:55","20 Apr 18"
3039 $F,9999,"00:00:00","11:49:55","00:00:00","      "
3040 $B,78,"Juniors men 200 Dobbin 1"
3041 $E,"TRACKNAME","Arena Geisingen"
3041 $E,"TRACKLENGTH","0.200"
3041 $B,78,"Juniors men 200 Dobbin 1"
3042 $E,"TRACKNAME","Arena Geisingen"
3042 $E,"TRACKLENGTH","0.200"
3044 $C,1,"Juniors men"
3095 $COMP,"754","754",1,"Jonah","Laieb (FRA)","FRA",""
3096 $A,"755","755",HT-35134,"Simon","Lallement (FRA)","FRA",1
3096 $COMP,"755","755",1,"Simon","Lallement (FRA)","FRA",""
3097 $A,"756","756",FN-49818,"Timo","Lehnertz (GER)","GER",1
3097 $COMP,"756","756",1,"Timo","Lehnertz (GER)","GER",""
3098 $A,"757","757",CL-39459,"Brecht","Lippens (BEL)","BEL",1
3098 $COMP,"757","757",1,"Brecht","Lippens (BEL)","BEL",""
3098 $A,"758","758",GH-31455,"Luigi","Longo (ITA)","ITA",1
3099 $COMP,"758","758",1,"Luigi","Longo (ITA)","ITA",""
3099 $A,"759","759",CW-92005,"Vincenzo","Maiorca (ITA)","ITA",1
3099 $COMP,"759","759",1,"Vincenzo","Maiorca (ITA)","ITA",""
3100 $A,"760","760",GP-91399,"Iuliano","Maoloni (ITA)","ITA",1
3100 $COMP,"760","760",1,"Iuliano","Maoloni (ITA)","ITA",""
3101 $A,"761","761",FV-04895,"Vasco","Martins (POR)","POR",1
3101 $COMP,"761","761",1,"Vasco","Martins (POR)","POR",""
3102 $A,"762","762",CZ-12085,"Bas","Meijer (NED)","NED",1
3102 $COMP,"762","762",1,"Bas","Meijer (NED)","NED",""
3103 $A,"763","763",FP-22782,"Joao Bernardo","Melo (POR)","POR",1
3103 $COMP,"763","763",1,"Joao Bernardo","Melo (POR)","POR",""
3103 $A,"764","764",PK-71596,"Jan Martin","Mende (GER)","GER",1
3104 $COMP,"764","764",1,"Jan Martin","Mende (GER)","GER",""
3104 $A,"765","765",HH-45667,"Jose Daniel","Moncada Silva (VEN)","VEN",1
3105 $COMP,"765","765",1,"Jose Daniel","Moncada Silva (VEN)","VEN",""
3105 $A,"766","766",FL-49528,"Carlos Andres","Morales Tovar (COL)","COL",1
3105 $COMP,"766","766",1,"Carlos Andres","Morales Tovar (COL)","COL",""
3105 $A,"767","767",CP-99575,"Elia","Morassutto (ITA)","ITA",1
3106 $COMP,"767","767",1,"Elia","Morassutto (ITA)","ITA",""
3106 $A,"768","768",KF-51442,"Hugo","Morin (FRA)","FRA",1
3106 $COMP,"768","768",1,"Hugo","Morin (FRA)","FRA",""
3106 $A,"769","769",HT-78950,"Bryce","Musial (USA)","USA",1
3107 $COMP,"769","769",1,"Bryce","Musial (USA)","USA",""
3107 $A,"770","770",NT-77595,"Lorenzo","Nella (ITA)","ITA",1
3107 $COMP,"770","770",1,"Lorenzo","Nella (ITA)","ITA",""
3107 $A,"771","771",NN-68336,"Alex","Nieto (ESP)","ESP",1
3108 $COMP,"771","771",1,"Alex","Nieto (ESP)","ESP",""
3108 $A,"772","772",CN-16129,"Glenn","Nijenhuis (NED)","NED",1
3108 $COMP,"772","772",1,"Glenn","Nijenhuis (NED)","NED",""
3108 $A,"773","773",NL-60942,"Yossy Aditya","Nugraha (IDN)","IDN",1
